Date,Entry Point,Adj Close,PNL,End date,Position,Start Price,Stop Loss
2022-11-11,1,734.4500122070312,0.002293413347323482,2022-11-14,1,734.4500122070312,742.010009765625
2023-02-16,1,736.3300170898438,0.008853819424038283,2023-02-17,1,736.3300170898438,748.739990234375
2023-03-08,1,745.2000122070312,-0.009945802715081557,2023-03-09,0,,
2023-03-09,1,743.75,-0.0036302521008403366,2023-03-10,0,,
2023-04-18,1,808.010009765625,-0.006948063049139642,2023-04-19,0,,
2023-04-20,1,798.0999755859375,-0.0047046673809485575,2023-04-21,0,,
2023-10-02,1,818.030029296875,-0.01988224318199657,2023-10-03,0,,
2023-10-18,1,826.030029296875,-0.029052521133208744,2023-10-19,0,,
2023-12-20,1,841.7899780273438,-0.007893053068082707,2023-12-21,0,,
2023-12-21,1,841.8800048828125,-0.0022510027649531713,2023-12-22,0,,
2024-07-03,1,1024.0899658203125,0.0019014881376317218,2024-07-05,1,1024.0899658203125,1034.22998046875
2024-08-29,1,1178.9300537109375,-0.003114309218615637,2024-08-30,0,,
2024-09-06,1,1131.5,0.0037278122238179404,2024-09-09,1,1131.5,1144.77001953125
