Date,Entry Point,Adj Close,PNL,End date,Position,Start Price,Stop Loss
2022-12-06,1,311.8099975585937,0.010504823638913842,2022-12-07,1,311.8099975585937,317.5799865722656
2023-02-02,1,303.7799987792969,-0.017085554601078953,2023-02-03,0,,
2023-02-03,1,301.0199890136719,0.004789868593546336,2023-02-06,1,301.0199890136719,304.8699951171875
2023-04-26,1,323.29998779296875,0.04170617980508395,2023-04-27,1,323.29998779296875,339.3699951171875
2023-05-17,1,341.20001220703125,-0.013099708938161838,2023-05-18,0,,
2023-05-18,1,339.4599914550781,-0.0014012230945055146,2023-05-19,0,,
2023-05-23,1,333.510009765625,-0.006980551323993069,2023-05-24,0,,
2023-07-07,1,338.17999267578125,0.01056998910434543,2023-07-10,1,338.17999267578125,344.4599914550781
2023-07-27,1,349.6400146484375,0.004612896006669807,2023-07-28,1,349.6400146484375,354.04998779296875
2023-10-20,1,361.8599853515625,0.008028349486920772,2023-10-23,1,361.8599853515625,367.6600036621094
2023-10-27,1,355.2799987792969,-0.0018921035938124766,2023-10-30,0,,
2023-11-15,1,349.3399963378906,-0.026148498323559886,2023-11-16,0,,
2024-02-29,1,420.739990234375,0.02056875935314396,2024-03-01,1,420.739990234375,432.760009765625
2024-06-12,1,475.7900085449219,-0.0011902936669820905,2024-06-13,0,,
2024-06-18,1,467.2799987792969,0.0007741955877125332,2024-06-20,1,467.2799987792969,471.3800048828125
2024-06-28,1,468.7200012207031,-0.002602323833615133,2024-07-01,0,,
2024-08-06,1,474.2900085449219,-0.025710670149377137,2024-08-07,0,,
